FIRST,MIDDLE,LAST,ADDRESS,CITY,STATE,ZIP,SSN
HARVEY,B,MILK,1930 RECRUIT YOU AVE,SAN FRANCISCO,CA,18896,314159265
HARVEY,B,MILK,1930 RECRUIT YOU AVE,SF,CA,18896,314159265
H,B,MILK,1930 RECRUIT YOU AVE,SF,CA,,314159265
H,,,1930 RECRUIT U,,,18896,
RICK,P,SANCHEZ,EARTH C-137,TACOMA,WA,11893,929601596
PYOTR,I,TCHAIKOVSKY,1840 N ST PETER,VOTKINSK,GA,11893,155633999
RUPERT,L,DONLEY,518 EVEREST BLVD,UDEMY,FL,12358,123789235
ELEANOR,P,TWINE,7878 SEVEN EIGHT,SMALL TOWN,LA,26916,148978105
MICHELL,M,MENENDEZ,58 CLOUDLESS SKY WAY,,,32156,203254687
CHARLES,F,KANE,794 BROKEN HOME AVE,ROSEBUD,PA,56465,489324789
HOLDEN,K,CAULFIELD,79 IRONICAL DRIVE,INNOCENCE,PA,45687,102354548
ATTICUS,J,FINCH,1930 JUSTICE AVENUE,MAYCOMB,AL,36460,121611201
KIT,H,SHARBER,PARADISE PLACE,ALMA,OR,10002,485943315
PAUL,MUAD'DIB,ATREIDES,314 PALACIAL ST,CALADAN,CA,15587,111555888
PAUL,MAWDIB,ATRAYDEZ,PALACIAL ST,CALADAN,CA,15587,111555888
PAUL,MAWDIB,ATRAYDEZ,314 PALACIAL STREET,CALIDAN,CA,15587,111555888
MICHEAL,J,BURRY,20400 STEVENS CREEK BLVD,CUPERTINO,CA,95014,158971324
MIKE,,BURRY,,CUPERTINO,CA,,158971324
